project,required,dep
elasticsearch,False,pyyaml
elasticsearch,False,pytest
elasticsearch,False,pytest-cov
elasticsearch,False,sphinx
elasticsearch,False,sphinx-rtd-theme
elasticsearch,False,black
elasticsearch,False,jinja2
dill,False,objgraph
pymysql,False,PyNaCl
pymysql,False,cryptography
msrestazure,True,msrest
msrestazure,True,adal
msrestazure,True,six
sniffio,True,contextvars
azure-storage-common,True,azure-common
azure-storage-common,True,cryptography
azure-storage-common,True,python-dateutil
azure-storage-common,True,requests
azure-storage-common,True,azure-storage-nspkg
astroid,True,lazy-object-proxy
astroid,True,wrapt
astroid,True,typed-ast
pathlib2,True,six
pathlib2,True,scandir
uvloop,False,Cython
uvloop,False,pytest
uvloop,False,Sphinx
uvloop,False,sphinxcontrib-asyncio
uvloop,False,sphinx-rtd-theme
uvloop,False,aiohttp
uvloop,False,flake8
uvloop,False,psutil
uvloop,False,pycodestyle
uvloop,False,pyOpenSSL
uvloop,False,mypy
slackclient,True,aiohttp
slackclient,False,aiodns
mypy-extensions,True,typing
datadog,True,requests
datadog,True,decorator
datadog,True,configparser
datadog,True,typing
pylint,True,astroid
pylint,True,isort
pylint,True,mccabe
pylint,True,toml
pylint,True,colorama
httpx,True,certifi
httpx,True,sniffio
httpx,True,rfc3986[idna2008]
httpx,True,httpcore
httpx,True,async-generator
httpx,False,brotlicffi
httpx,False,h2
keras-preprocessing,True,numpy
keras-preprocessing,True,six
keras-preprocessing,False,scipy
keras-preprocessing,False,Pillow
keras-preprocessing,False,flake8
keras-preprocessing,False,pandas
keras-preprocessing,False,tensorflow
keras-preprocessing,False,keras
keras-preprocessing,False,pytest
keras-preprocessing,False,pytest-xdist
keras-preprocessing,False,pytest-cov
s3fs,True,aiobotocore
s3fs,True,fsspec
s3fs,False,aiobotocore[awscli]
s3fs,False,aiobotocore[boto3]
httptools,False,Cython
nltk,True,click
nltk,True,joblib
nltk,True,regex
nltk,True,tqdm
nltk,False,matplotlib
nltk,False,twython
nltk,False,scipy
nltk,False,numpy
nltk,False,gensim
nltk,False,python-crfsuite
nltk,False,pyparsing
nltk,False,scikit-learn
nltk,False,requests
django,True,asgiref
django,True,pytz
django,True,sqlparse
django,False,argon2-cffi
django,False,bcrypt
nbclient,True,traitlets
nbclient,True,jupyter-client
nbclient,True,nbformat
nbclient,True,async-generator
nbclient,True,nest-asyncio
nbclient,False,codecov
nbclient,False,coverage
nbclient,False,ipython
nbclient,False,ipykernel
nbclient,False,ipywidgets
nbclient,False,pytest
nbclient,False,pytest-cov
nbclient,False,check-manifest
nbclient,False,flake8
nbclient,False,mypy
nbclient,False,tox
nbclient,False,bumpversion
nbclient,False,xmltodict
nbclient,False,pip
nbclient,False,wheel
nbclient,False,setuptools
nbclient,False,twine
nbclient,False,black
nbclient,False,Sphinx
nbclient,False,sphinx-book-theme
nbclient,False,mock
nbclient,False,moto
nbclient,False,myst-parser
setuptools-scm,True,setuptools
setuptools-scm,False,toml
openpyxl,True,et-xmlfile
sanic,True,sanic-routing
sanic,True,httptools
sanic,True,aiofiles
sanic,True,websockets
sanic,True,multidict
sanic,True,uvloop
sanic,True,ujson
sanic,False,sanic-testing
sanic,False,pytest
sanic,False,multidict
sanic,False,gunicorn
sanic,False,pytest-cov
sanic,False,beautifulsoup4
sanic,False,pytest-sanic
sanic,False,pytest-sugar
sanic,False,pytest-benchmark
sanic,False,aiofiles
sanic,False,tox
sanic,False,black
sanic,False,flake8
sanic,False,bandit
sanic,False,towncrier
sanic,False,sphinx
sanic,False,sphinx-rtd-theme
sanic,False,recommonmark
sanic,False,docutils
sanic,False,pygments
sanic,False,uvloop
sanic,False,ujson
sortedcollections,True,sortedcontainers
jupyterlab-pygments,True,pygments
pytest-runner,False,sphinx
pytest-runner,False,jaraco.packaging
pytest-runner,False,rst.linker
pytest-runner,False,pytest
pytest-runner,False,pytest-checkdocs
pytest-runner,False,pytest-flake8
pytest-runner,False,pytest-cov
pytest-runner,False,pytest-enabler
pytest-runner,False,pytest-virtualenv
pytest-runner,False,pytest-black
pytest-runner,False,pytest-mypy
marshmallow,False,pytest
marshmallow,False,pytz
marshmallow,False,simplejson
marshmallow,False,mypy
marshmallow,False,flake8
marshmallow,False,flake8-bugbear
marshmallow,False,pre-commit
marshmallow,False,tox
marshmallow,False,sphinx
marshmallow,False,sphinx-issues
marshmallow,False,alabaster
marshmallow,False,sphinx-version-warning
marshmallow,False,autodocsumm
google-pasta,True,six
jsonpickle,True,importlib-metadata
jsonpickle,False,sphinx
jsonpickle,False,jaraco.packaging
jsonpickle,False,rst.linker
jsonpickle,False,coverage
jsonpickle,False,pytest
