pkg,date,downloads
drawdata,2022-05-21,20
human-learn,2022-05-21,6
memo,2022-05-21,24
mktestdocs,2022-05-21,14
scikit-lego,2022-05-21,233
tokenwiser,2022-05-21,16
whatlies,2022-05-21,182
clumper,2022-05-22,59
drawdata,2022-05-22,2
human-learn,2022-05-22,5
memo,2022-05-22,27
mktestdocs,2022-05-22,10
pytest-duration-insights,2022-05-22,12
scikit-lego,2022-05-22,257
whatlies,2022-05-22,19
clumper,2022-05-23,131
drawdata,2022-05-23,43
human-learn,2022-05-23,9
memo,2022-05-23,13
mktestdocs,2022-05-23,30
pytest-duration-insights,2022-05-23,40
scikit-lego,2022-05-23,546
tokenwiser,2022-05-23,3
whatlies,2022-05-23,27
clumper,2022-05-24,112
drawdata,2022-05-24,16
memo,2022-05-24,25
mktestdocs,2022-05-24,30
pytest-duration-insights,2022-05-24,52
scikit-lego,2022-05-24,930
whatlies,2022-05-24,41
clumper,2022-05-25,120
drawdata,2022-05-25,70
human-learn,2022-05-25,25
memo,2022-05-25,34
mktestdocs,2022-05-25,117
pytest-duration-insights,2022-05-25,35
scikit-lego,2022-05-25,703
tokenwiser,2022-05-25,35
whatlies,2022-05-25,138
clumper,2022-05-26,92
drawdata,2022-05-26,13
human-learn,2022-05-26,3
memo,2022-05-26,8
mktestdocs,2022-05-26,153
pytest-duration-insights,2022-05-26,48
scikit-lego,2022-05-26,672
tokenwiser,2022-05-26,38
whatlies,2022-05-26,32
clumper,2022-05-27,125
drawdata,2022-05-27,15
memo,2022-05-27,11
mktestdocs,2022-05-27,153
pytest-duration-insights,2022-05-27,47
scikit-lego,2022-05-27,486
whatlies,2022-05-27,583
clumper,2022-05-28,78
drawdata,2022-05-28,7
human-learn,2022-05-28,14
memo,2022-05-28,4
mktestdocs,2022-05-28,23
pytest-duration-insights,2022-05-28,18
scikit-lego,2022-05-28,63
whatlies,2022-05-28,59
clumper,2022-05-29,40
drawdata,2022-05-29,14
human-learn,2022-05-29,14
memo,2022-05-29,2
mktestdocs,2022-05-29,17
pytest-duration-insights,2022-05-29,8
scikit-lego,2022-05-29,65
tokenwiser,2022-05-29,14
whatlies,2022-05-29,156
