pkg,date,downloads
memo,2021-04-23,18
mktestdocs,2021-04-23,6
scikit-lego,2021-04-23,239
tokenwiser,2021-04-23,17
whatlies,2021-04-23,130
clumper,2021-04-24,57
drawdata,2021-04-24,34
human-learn,2021-04-24,23
memo,2021-04-24,10
mktestdocs,2021-04-24,8
scikit-lego,2021-04-24,87
tokenwiser,2021-04-24,2
whatlies,2021-04-24,26
clumper,2021-04-25,39
drawdata,2021-04-25,22
human-learn,2021-04-25,8
memo,2021-04-25,16
mktestdocs,2021-04-25,10
scikit-lego,2021-04-25,35
tokenwiser,2021-04-25,6
whatlies,2021-04-25,9
clumper,2021-04-26,53
drawdata,2021-04-26,73
human-learn,2021-04-26,20
memo,2021-04-26,13
mktestdocs,2021-04-26,10
scikit-lego,2021-04-26,171
tokenwiser,2021-04-26,39
whatlies,2021-04-26,143
clumper,2021-04-27,23
drawdata,2021-04-27,77
human-learn,2021-04-27,34
memo,2021-04-27,20
mktestdocs,2021-04-27,12
scikit-lego,2021-04-27,156
tokenwiser,2021-04-27,23
whatlies,2021-04-27,20
clumper,2021-04-28,54
drawdata,2021-04-28,44
human-learn,2021-04-28,27
memo,2021-04-28,11
mktestdocs,2021-04-28,6
scikit-lego,2021-04-28,212
tokenwiser,2021-04-28,37
whatlies,2021-04-28,95
clumper,2021-04-29,44
drawdata,2021-04-29,46
human-learn,2021-04-29,26
memo,2021-04-29,12
mktestdocs,2021-04-29,6
scikit-lego,2021-04-29,178
tokenwiser,2021-04-29,14
whatlies,2021-04-29,37
clumper,2021-04-30,63
drawdata,2021-04-30,47
human-learn,2021-04-30,13
memo,2021-04-30,11
mktestdocs,2021-04-30,8
scikit-lego,2021-04-30,218
tokenwiser,2021-04-30,18
whatlies,2021-04-30,96
clumper,2021-05-01,58
drawdata,2021-05-01,59
human-learn,2021-05-01,30
memo,2021-05-01,14
mktestdocs,2021-05-01,7
scikit-lego,2021-05-01,18
tokenwiser,2021-05-01,13
whatlies,2021-05-01,90
clumper,2021-05-02,44
drawdata,2021-05-02,27
human-learn,2021-05-02,175
memo,2021-05-02,8
mktestdocs,2021-05-02,23
scikit-lego,2021-05-02,135
tokenwiser,2021-05-02,3
whatlies,2021-05-02,16
clumper,2021-05-03,81
drawdata,2021-05-03,21
human-learn,2021-05-03,112
memo,2021-05-03,18
mktestdocs,2021-05-03,23
scikit-lego,2021-05-03,149
tokenwiser,2021-05-03,12
whatlies,2021-05-03,98
clumper,2021-05-04,49
drawdata,2021-05-04,19
human-learn,2021-05-04,193
memo,2021-05-04,27
mktestdocs,2021-05-04,49
scikit-lego,2021-05-04,185
tokenwiser,2021-05-04,6
whatlies,2021-05-04,69
clumper,2021-05-05,127
drawdata,2021-05-05,28
human-learn,2021-05-05,118
memo,2021-05-05,11
mktestdocs,2021-05-05,7
scikit-lego,2021-05-05,231
tokenwiser,2021-05-05,11
whatlies,2021-05-05,30
clumper,2021-05-06,51
drawdata,2021-05-06,22
human-learn,2021-05-06,87
memo,2021-05-06,25
mktestdocs,2021-05-06,13
scikit-lego,2021-05-06,247
tokenwiser,2021-05-06,15
whatlies,2021-05-06,193
clumper,2021-05-07,7
drawdata,2021-05-07,19
human-learn,2021-05-07,70
memo,2021-05-07,17
mktestdocs,2021-05-07,9
scikit-lego,2021-05-07,362
tokenwiser,2021-05-07,10
whatlies,2021-05-07,110
clumper,2021-05-08,66
